Car Name,Year,Selling Price,Kilometer Driven,Fuel Type,Seller Type,Transminssion,Owner,KM Range,Car Age,Price per KM,Condition
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,25–50k,11,21.0,Old
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,50–75k,11,7.5675675675675675,Old
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,50–75k,11,4.53125,Old
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,50–75k,13,4.583333333333333,Old
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,100–150k,16,3.425,Old
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,75–100k,16,1.8987341772151898,Old
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,0–25k,6,33.333333333333336,New
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,75–100k,19,1.25,Old
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,0–25k,8,39.189189189189186,New
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,0–25k,7,39.31372549019608,New
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,25–50k,7,25.862068965517242,New
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,25–50k,7,11.071428571428571,New
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,25–50k,9,14.456521739130435,New
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,50–75k,11,6.642857142857143,Old
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,50–75k,13,2.6666666666666665,Old
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,25–50k,29,7.142857142857143,Old
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,75–100k,11,7.5,Old
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,75–100k,12,3.75,Old
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,75–100k,20,0.875,Old
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,50–75k,11,3.2742155525238745,Old
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,75–100k,11,5.706521739130435,Old
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,50–75k,16,2.2616979210352883,Old
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,75–100k,16,1.4,Old
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,,15,0.8,Old
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,200k+,14,1.5217391304347827,Old
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,50–75k,8,9.5,New
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,25–50k,7,9.67741935483871,New
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,25–50k,18,2.5641025641025643,Old
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,100–150k,16,4.166666666666667,Old
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,150–200k,11,0.7530120481927711,Old
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,100–150k,19,1.1818181818181819,Old
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,25–50k,8,26.428571428571427,New
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,50–75k,7,12.5,New
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,50–75k,18,3.7037037037037037,Old
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,50–75k,15,3.9365079365079363,Old
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,100–150k,11,3.75,Old
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,100–150k,20,0.6666666666666666,Old
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,75–100k,11,8.552631578947368,Old
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,75–100k,10,5.625,Old
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,0–25k,6,26.0,New
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,0–25k,9,41.39488208730557,New
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,0–25k,10,18.55,Old
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,0–25k,8,113.88888888888889,New
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,0–25k,8,1253.8461538461538,New
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,50–75k,10,10.714285714285714,Old
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,100–150k,12,5.0,Old
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,50–75k,18,1.3793103448275863,Old
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,50–75k,12,5.22508038585209,Old
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,25–50k,11,43.23529411764706,Old
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,50–75k,10,6.60377358490566,Old
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,25–50k,12,57.142857142857146,Old
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,0–25k,8,14.0,New
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,25–50k,12,9.0,Old
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,50–75k,12,21.69811320754717,Old
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,50–75k,16,3.3070866141732282,Old
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,0–25k,7,459.18367346938777,New
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,0–25k,8,211.53846153846155,New
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,0–25k,7,94.04761904761905,New
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,25–50k,17,5.998697425701848,Old
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,25–50k,13,52.083333333333336,Old
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,100–150k,8,5.233333333333333,New
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,75–100k,15,6.0,Old
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,25–50k,8,13.3,New
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,75–100k,7,8.620689655172415,New
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,0–25k,6,50.0,New
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,0–25k,8,19.6875,New
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,50–75k,13,10.0,Old
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,50–75k,15,1.6666666666666667,Old
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,100–150k,14,2.272727272727273,Old
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,0–25k,8,14.0,New
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,50–75k,9,13.0,New
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,75–100k,11,5.469439193446755,Old
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,75–100k,9,8.625,New
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,75–100k,11,6.166666666666667,Old
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,75–100k,18,1.3333333333333333,Old
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,100–150k,11,4.166666666666667,Old
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,50–75k,12,2.75,Old
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,25–50k,21,1.9,Old
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,0–25k,7,27.5,New
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,100–150k,18,0.9090909090909091,Old
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,25–50k,13,2.0,Old
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,75–100k,13,5.0,Old
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,50–75k,9,11.428571428571429,New
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,50–75k,9,12.0,New
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,25–50k,9,9.8,New
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,75–100k,15,1.5432098765432098,Old
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,100–150k,13,3.3333333333333335,Old
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,0–25k,10,277.77777777777777,Old
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,0–25k,10,37.13565022421525,Old
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,25–50k,8,17.068660719728527,New
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,25–50k,10,5.749975,Old
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,25–50k,27,1.0,Old
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,75–100k,13,1.625,Old
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,50–75k,10,2.857142857142857,Old
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,50–75k,14,1.7142857142857142,Old
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,50–75k,22,1.3157894736842106,Old
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,100–150k,9,2.0833333333333335,New
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,25–50k,20,3.3333333333333335,Old
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,0–25k,12,86.41975308641975,Old
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,0–25k,10,108.0,Old
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,0–25k,7,70.0,New
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,75–100k,10,5.25,Old
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,75–100k,9,5.375,New
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,50–75k,23,0.9285714285714286,Old
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,25–50k,7,22.857142857142858,New
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,100–150k,18,0.6578947368421053,Old
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,50–75k,17,3.905378263780406,Old
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,100–150k,13,1.3928571428571428,Old
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,100–150k,10,3.3333333333333335,Old
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,50–75k,13,2.8333333333333335,Old
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,0–25k,9,9.0,New
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,75–100k,11,2.3333333333333335,Old
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,100–150k,5,2.0,New
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,150–200k,10,1.7142857142857142,Old
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,75–100k,14,0.99,Old
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,25–50k,11,17.22222222222222,Old
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,25–50k,12,16.666666666666668,Old
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,25–50k,15,63.75,Old
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,50–75k,12,3.7142857142857144,Old
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,50–75k,8,9.166666666666666,New
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,150–200k,14,0.9646302250803859,Old
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,25–50k,14,7.0,Old
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,25–50k,9,8.0,New
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,75–100k,10,4.0,Old
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,75–100k,13,2.1875,Old
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,75–100k,14,1.3333333333333333,Old
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,75–100k,12,3.5555555555555554,Old
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,100–150k,19,0.6363636363636364,Old
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,0–25k,6,54.0,New
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,75–100k,18,0.95,Old
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,25–50k,5,7.05,New
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,50–75k,21,1.3333333333333333,Old
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,0–25k,12,2.88,Old
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,0–25k,9,24.0,New
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,0–25k,10,27.82608695652174,Old
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,0–25k,7,17.15188445046265,New
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,50–75k,7,9.285714285714286,New
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,50–75k,16,2.5,Old
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,100–150k,16,2.5454545454545454,Old
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,25–50k,7,14.333333333333334,New
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,0–25k,6,53.333333333333336,New
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,75–100k,22,0.75,Old
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,50–75k,9,9.285714285714286,New
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,0–25k,8,16.25,New
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,100–150k,20,0.8333333333333334,Old
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,25–50k,12,42.857142857142854,Old
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,75–100k,18,2.232712426639449,Old
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,100–150k,13,3.9545363636363637,Old
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,75–100k,15,1.8888888888888888,Old
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,75–100k,14,2.111111111111111,Old
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,100–150k,16,1.6666666666666667,Old
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner,200k+,16,0.9999956521739131,Old
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,50–75k,19,2.0,Old
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,75–100k,8,7.466215375426197,New
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,100–150k,13,2.5454545454545454,Old
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,50–75k,13,2.5,Old
Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,25–50k,10,13.0,Old
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,25–50k,11,5.25,Old
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,25–50k,8,72.5,New
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner,0–25k,12,21.25,Old
Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner,50–75k,11,4.818181818181818,Old
Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,First Owner,0–25k,7,783.4507042253521,New
Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner,50–75k,12,6.636363636363637,Old
Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner,25–50k,11,8.13953488372093,Old
Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,First Owner,50–75k,9,11.416666666666666,New
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,First Owner,0–25k,7,354.7169811320755,New
Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Individual,Manual,First Owner,25–50k,8,25.0,New
Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,0–25k,6,76.66666666666667,New
Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,Second Owner,100–150k,9,3.8805815698245976,New
Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner,50–75k,10,9.076923076923077,Old
Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,First Owner,25–50k,8,20.0,New
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,First Owner,50–75k,13,6.637931034482759,Old
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,0–25k,12,133.33333333333334,Old
Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,First Owner,50–75k,13,4.351851851851852,Old
Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner,50–75k,8,11.428571428571429,New
Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner,100–150k,19,0.43333333333333335,Old
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner,75–100k,16,0.8888888888888888,Old
Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner,50–75k,13,2.0,Old
Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner,75–100k,17,1.3333333333333333,Old
